REPORT_NO,STATION_NO,STATION_TYPE,WORK_ORDER_NO,CONTRACT,TITLE,AUTHOR,REPORT_TYPE,CLASSIFICATION
64475,"BH80",RCG,ASD012162,TCC516,"Contract TCC516 Works Order ASD012162 Multi-Purpose Complex (MPSC) at Kai Tak, Kowloon City District (Vol. 1 of 9)","GAMMON CONSTRUCTION LIMITED",GI,GOVERNMENT
64475,"BH79",RCG,ASD012162,TCC516,"Contract TCC516 Works Order ASD012162 Multi-Purpose Complex (MPSC) at Kai Tak, Kowloon City District (Vol. 1 of 9)","GAMMON CONSTRUCTION LIMITED",GI,GOVERNMENT
65888,"2211/SCL/KT012",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT013",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT007",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT009",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT001",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT002",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT003",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT004",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT005",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT006",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT010",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
65888,"2211/SCL/KT011",VC,null,NEX/2211,"Contract NEX/2211 GI (Marine) for Shatin to Central Link Final Factual Fieldwork Report Document No.: F08014105-R002","Fugro Geotechnical Services Limited",GI,PRIVATE
15584,"SA-6",DH,PW7/2/27.171,GC/89/03,"Kai Tak Airport Improvement South Apron Development Bridge No. 3","Bachy Soletanche Group Hong Kong",GI,GOVERNMENT
05590,"BH2",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05590,"BH3",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05788,"B1A",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05788,"B2A",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05788,"B3A",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05590,"BH4",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05590,"BH1",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
05788,"B4A",DH,Q7/2/10.14,EDD 9/GCO/83,"Improvement of Water Quality in Kai Tak Nullah and Kowloon Bay Typhoon Shelter, Stage II, Dredging Work in Channel Section of Typhoon Shelter Site Investigation Report","Gammon (Hong Kong) Limited",GI,GOVERNMENT
21651,"MVC-12",VC,GE/93/11.53,GE/93/11,"South East Kowloon Development Feasibility Study Phase I Marine Ground Investigation Factual Fieldwork Report Volume I Civil Engineering Department Contract No. GE/93/11 Ground Investigation - Marine","Bachy Soletanche Group",GI,GOVERNMENT
21651,"MVC-13",VC,GE/93/11.53,GE/93/11,"South East Kowloon Development Feasibility Study Phase I Marine Ground Investigation Factual Fieldwork Report Volume I Civil Engineering Department Contract No. GE/93/11 Ground Investigation - Marine","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/08",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/01",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MBH36/01",DH,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/02",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/03",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/06",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/07",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC46/01",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MBH36/02",DH,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MBH36/03",DH,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MBH45/01",DH,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/04",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/05",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/06",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/07",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/08",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC45/10",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
27345,"MCP35/3",CPT,GE/95/08.14,GE/95/08,"Southeast Kowloon Feasibility Study Phase 3 Marine Ground Investigation Factual Fieldwork Report. Volume 1.","Bachy Soletanche Group",GI,GOVERNMENT
27345,"MBH35/2",O,GE/95/08.14,GE/95/08,"Southeast Kowloon Feasibility Study Phase 3 Marine Ground Investigation Factual Fieldwork Report. Volume 1.","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC35/01",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/01",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/02",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/03",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/04",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21659,"MVC36/05",VC,GE/95/08.8,GE/95/08,"South East Kowloon Development Feasibility Study Marine Ground Investigation Phase 1 SI (Additional Works) Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21651,"MBH-12",DH,GE/93/11.53,GE/93/11,"South East Kowloon Development Feasibility Study Phase I Marine Ground Investigation Factual Fieldwork Report Volume I Civil Engineering Department Contract No. GE/93/11 Ground Investigation - Marine","Bachy Soletanche Group",GI,GOVERNMENT
27345,"MCP25/4",CPT,GE/95/08.14,GE/95/08,"Southeast Kowloon Feasibility Study Phase 3 Marine Ground Investigation Factual Fieldwork Report. Volume 1.","Bachy Soletanche Group",GI,GOVERNMENT
21761,"MVC35/2",DH,GE/95/08.10,GE/95/08,"South East Kowloon Development Feasibility Study Phase 2 Marine Ground Investigation Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
21761,"MCP35/1",DH,GE/95/08.10,GE/95/08,"South East Kowloon Development Feasibility Study Phase 2 Marine Ground Investigation Factual Fieldwork Report Volume I","Bachy Soletanche Group",GI,GOVERNMENT
31241,"AC4(A)",VC,GE/99/08.7,GE/99/08,"Agreement No. CE 32/99 Comprehensive Feasibility Study for the Revised Scheme of South East Kowloon Development","Gammon Construction Limited",GI,GOVERNMENT
31241,"AC1",VC,GE/99/08.7,GE/99/08,"Agreement No. CE 32/99 Comprehensive Feasibility Study for the Revised Scheme of South East Kowloon Development","Gammon Construction Limited",GI,GOVERNMENT
31241,"AC2(B)",VC,GE/99/08.7,GE/99/08,"Agreement No. CE 32/99 Comprehensive Feasibility Study for the Revised Scheme of South East Kowloon Development","Gammon Construction Limited",GI,GOVERNMENT
31241,"AC3",VC,GE/99/08.7,GE/99/08,"Agreement No. CE 32/99 Comprehensive Feasibility Study for the Revised Scheme of South East Kowloon Development","Gammon Construction Limited",GI,GOVERNMENT
31241,"KB7",VC,GE/99/08.7,GE/99/08,"Agreement No. CE 32/99 Comprehensive Feasibility Study for the Revised Scheme of South East Kowloon Development","Gammon Construction Limited",GI,GOVERNMENT
32520,"98255/KT17",DH,null,CV/99/14,"Ground Investigation for Development near Choi Wan Road and Jordan Valley and Development at Anderson Road Final Fieldwork Report Vol. 1 of 10","DrilTech Ground Engineering Limited",GI,GOVERNMENT
32520,"98255/KT15",DH,null,CV/99/14,"Ground Investigation for Development near Choi Wan Road and Jordan Valley and Development at Anderson Road Final Fieldwork Report Vol. 1 of 10","DrilTech Ground Engineering Limited",GI,GOVERNMENT
35368,"01273/S75",DH,GE/2001/29.10A,GE/2001/29,"South East Kowloon Development Kai Tai Approach Channel Reclamation Marine Ground Investigation - Stage 1","Bachy Soletanche Group",GI,GOVERNMENT
36225,"01273/C12",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S12",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C13A",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L48",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L52",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L53",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L58",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S01",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S03",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S04",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/S07",DH,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V15A",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V15B",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V16",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"V17",VC,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
35368,"01273/S71",DH,GE/2001/29.10A,GE/2001/29,"South East Kowloon Development Kai Tai Approach Channel Reclamation Marine Ground Investigation - Stage 1","Bachy Soletanche Group",GI,GOVERNMENT
36225,"01273/C05",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C06",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C07",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C08",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36225,"01273/C10",O,GE/2001/29.10B,GE/2001/29,"South East Kowloon Development Kai Tak Approach Channel Reclamation Marine Ground Investigation - Stage 2 Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L72",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L75",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L77",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L78",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L79",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L81",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L83",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L59",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L60",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
36111,"01273/L63",DH,GE/2001/12.24&14A,GE/2001/12,"Agreement No. CE43/2000(CE) South East Kowloon Development, Kai Tak Approach Channel Reclamation Ground Investigation Factual Fieldwork Report Volume 1","Bachy Soletanche Group Limited",GI,GOVERNMENT
